"","Query","Tax","Matching","MapQ","AS.max"
"665","09cbe3f2-6f92-4f22-8774-0cc6ae33caf3","Lactobacillus_amylolyticus",87.6065065840434,60,1602
"672","09e87c85-6898-4cc3-bc9e-d2f64ed3e48c","Enterococcus_faecium",80.3379416282642,0,1010
"675","09ebc760-f2f6-486f-8616-613457259b25","Lactobacillus_ginsenosidimutans",89.4951140065147,0,1648
"680","09f92c55-d473-44a5-a92a-9d7bdc22f12f","Lactobacillus_brevis",86.0215053763441,1,1576
"683","0a369270-9eaa-43bd-b130-a83ad83c463d","Lactobacillus_delbrueckii",94.6132596685083,0,2386
"688","0a5cdc98-a549-4676-afc1-4ffb64a24a8d","Lactobacillus_paracasei",86.6368286445013,1,1826
"692","0a6ccf59-f671-4964-b2e8-c2288bf7e6c0","Lactobacillus_fermentum",86.0586319218241,0,1752
"698","0a6fbbda-4ef5-4699-9dff-3716e7abf241","Pediococcus_claussenii",87.2912127814089,0,1688
"699","0a766414-99e1-4d4e-ad2b-ffc1e7af6260","Lactobacillus_casei",87.8099173553719,0,1778
"706","0a778a22-916e-4d31-877c-443fdca70f0d","Pediococcus_claussenii",84.5846645367412,0,1300
"710","0a804560-f73b-4000-ad32-0efc6d9eca82","Lactobacillus_delbrueckii",89.1541609822647,0,1950
"715","0a9573f2-6aa8-4bcf-bb68-e914a193bead","Lactobacillus_fermentum",89.5994832041344,1,2084
"719","0ab23295-8afe-4610-af40-41747b521b5c","Lactobacillus_fermentum",89.8838004101162,0,1992
"720","0ab7f6e9-f727-4e39-befc-1f7252e87da7","Lactobacillus_casei",94.8418156808803,0,2410
"724","0b12bbdb-64c1-43e5-b603-5673fb5014a7","Lactobacillus_delbrueckii",87.1496924128503,0,1726
"729","0b3b70f9-ca73-4670-b245-b27f5165825d","Lactobacillus_paracasei",89.3645484949833,1,1994
"731","0b499ea0-117b-4bdb-b70d-264a10c3d261","Lactobacillus_ginsenosidimutans",82.6178747361013,30,1292
"737","0b4c77e3-f2c6-453d-affa-f3679f2c52eb","Lactobacillus_casei",90.138067061144,0,2126
"742","0b59a5d8-6273-4aa9-aa77-b50bddea764f","Lactobacillus_buchneri",88.5007278020378,1,1774
"749","0b70b86d-3106-47cf-80dc-259098a2b0ba","Lactobacillus_rhamnosus",85.531914893617,1,1560
"752","0b754d92-9e66-4630-ae1a-70f4946bd481","Lactobacillus_fermentum",86.742934051144,0,1798
"754","0b7efbc5-9c1f-4c92-a4a7-45b4a6ed8b94","Lactobacillus_casei",92.4024640657084,0,2222
"757","0b8462ec-d8f7-4070-b2e6-5c7159f48694","Lactobacillus_casei",92.202462380301,0,2212
"763","0b86dafc-2674-465d-9fff-88d51aec4466","Lactobacillus_fermentum",93.3884297520661,1,2304
"767","0b98a494-5ef2-4235-803a-ccc6ce1f2491","Lactobacillus_fermentum",86.4084507042253,0,1636
"769","0ba3b6d5-3db4-4ab1-8eba-2796d6de73f9","Lactobacillus_casei",84.4323589394969,0,1524
"773","0bc9ea22-541f-4f26-8660-bb7199e1bf8f","Lactobacillus_fermentum",93.8095238095238,0,2358
"776","0bfbcc13-562a-481f-aeaa-740626dcd5f3","Lactobacillus_casei",94.3565037852719,0,2384
"781","0bfc4262-2830-49a8-ae20-48ad7ff8c1a6","Lactobacillus_salivarius",85.5525965379494,0,1674
"784","0bfdbad7-6914-4961-822a-b7dfa1c33014","Lactobacillus_casei",91.2806539509537,0,2134
"789","0c160ebc-d97c-4ee1-94f2-e4d796c9b845","Lactobacillus_mucosae",84.149855907781,0,1424
"793","0c1dbf7e-6c29-420f-9c46-1b363c6ba7c3","Lactobacillus_fermentum",92.7653820148749,0,2294
"795","0c288839-d8da-4023-84b5-80954b84db00","Lactobacillus_casei",83.4473324213406,0,1446
"800","0c460367-12a6-4055-99fd-f577ac6ba5b0","Lactobacillus_casei",86.9127516778524,1,1760
"807","0c589455-7247-4262-ab47-7d334ccc5217","Lactobacillus_rhamnosus",87.8721859114016,1,1702
"808","0c5ac2e8-76bb-4e1f-bda0-2bf351640b55","Lactobacillus_casei",90.1293396868618,0,2020
"812","0c6ebb7f-3bc4-4873-8e63-f542408c5306","Lactobacillus_casei",92.852185981957,0,2232
"817","0c74cdbe-d193-4dbf-bf2f-68ba5f47f7bc","Lactobacillus_rhamnosus",84.9384503982621,1,1442
"821","0c8401d3-5f35-45b8-8547-c30ac34578cf","Lactobacillus_paracasei",87.1646120377085,1,1646
"824","0c9027bf-fab7-441d-8401-19f3ffab2ff6","Lactobacillus_paracasei",86.1823361823362,27,1636
"827","0ca99fd2-3749-46e5-99cd-c1f969e6b41d","Lactobacillus_casei",92.0689655172414,0,2188
"832","0cd46003-a3d4-40a9-83e9-7397ab4ad039","Lactobacillus_casei",92.5342465753425,0,2232
"836","0cdb7dcf-2667-432e-a784-12be0a5d70fe","Lactobacillus_casei",86.2275449101796,0,1748
"841","0ced0a73-0d89-46c1-af5e-016b1c2868ec","Lactobacillus_paracasei",87.1232876712329,1,1748
"845","0d0cf1e8-964e-4ccf-a1ba-3b80757caba8","Lactobacillus_casei",87.7607788595271,0,1776
"850","0d30eb2e-b300-4db1-b282-89025bb02c91","Lactobacillus_fermentum",91.7309039943938,0,2104
"854","0d5772cf-cbc0-42ab-9a53-43ad9b9d58a1","Lactobacillus_fermentum",95.0272479564033,11,2454
"858","0d8e6ec2-9811-4dd4-9187-92adb60fe19e","Lactobacillus_casei",94.3526170798898,0,2378
"860","0d90d39b-7ea2-4d57-9f4b-8948700aa0b1","Lactobacillus_casei",92.5925925925926,0,2220
"865","0dbbc87b-40d6-4a8d-b771-7f29c511e0f6","Lactobacillus_fermentum",86.0610263522885,0,1626
"869","0dc5cc91-a13c-4c8d-9607-30a66d149745","Lactobacillus_paracasei",87.9972086531752,1,1772
"877","0dc81ccd-a7a9-4f41-acf7-7034332372a3","Lactobacillus_paracasei",87.0309414088216,1,1784
"878","0ddbee1c-ce91-490c-9a41-d7de37324151","Lactobacillus_casei",85.6946354883081,0,1576
"882","0df1980e-627b-4047-bddb-c2863f5a3164","Lactobacillus_fermentum",87.3200822481152,0,1752
"888","0dfc8421-3fbd-48f3-b08b-828245d22eb6","Lactobacillus_fermentum",92.3705722070845,0,2216
"892","0dfd5e26-ba0d-4e9b-86e8-3ad6ca886a70","Lactobacillus_casei",95.5801104972376,0,2490
"897","0e30c22b-0af0-4647-9a5c-9b845e8dd196","Lactobacillus_casei",87.0588235294118,1,1718
"902","0e45f0fe-039c-439d-8a82-08c0d70c8a4d","Lactobacillus_paracasei",93.6155913978495,0,2348
"903","0e5ab37d-3669-4b4f-88e2-16a106c7f915","Lactobacillus_casei",89.0977443609023,0,1770
"906","0e675e9c-0c70-4004-9f0d-eee06de8d772","Lactobacillus_casei",87.1099050203528,0,1772
"908","0e6cb9c6-7ff4-43e1-86a4-cae1843d9fa4","Lactobacillus_casei",86.0387441549766,0,1716
"915","0e76d438-fab0-4b40-9651-2ed39dd555af","Lactobacillus_paracasei",93.2922655715264,1,2306
"918","0e78b5d2-bf70-4632-ae9f-9116301ba164","Lactobacillus_fermentum",92.7586206896552,0,2258
"923","0e832dce-f18c-40f5-b2de-1a3f87e10d6e","Lactobacillus_buchneri",87.4186550976139,1,1680
"925","0e9d744f-7799-47ac-bfc0-d0a269dc5135","Lactobacillus_casei",94.1660947151682,0,2376
"928","0e9f9b28-c1d4-43b4-bb0a-7821080cd3d8","Lactobacillus_casei",92.1750663129973,0,2254
"932","0eaa8928-feff-4bb3-91f2-aa2816a6da56","Lactobacillus_buchneri",85.1301115241636,0,1432
"934","0ec16a04-cfb3-4ec2-ab76-1ab07078d86b","Lactobacillus_casei",93.046357615894,0,2350
"939","0ecc9b21-80d3-41dc-9748-4820ca2196f8","Lactobacillus_fermentum",92.9644808743169,0,2272
